0,-2191.799
0,-2191.799
1,-2135.85
2,-1916.46
3,-1726.68
4,-1563.24
5,-1402.35
6,-1291.77
7,-1217.79
8,-1120.05
9,-1028.52
10,-946.38
11,-881.01
12,-815.28
13,-763.26
14,-711.99
15,-661.5
16,-633.87
17,-584.88
18,-553.35
19,-538.95
20,-502.92
21,-491.28
22,-468.54
23,-459.99
24,-432.27
25,-411.48
26,-398.1
27,-379.26
28,-379.26
29,-349.65
30,-331.89
31,-331.89
32,-309.6
33,-290.04
34,-290.04
35,-275.4
36,-275.4
37,-257.64
38,-244.14
39,-250.89
40,-228.51
41,-228.51
42,-228.51
43,-210.6
44,-210.6
45,-201.54
46,-201.54
47,-192.66
48,-192.66
49,-181.47
50,-181.47
51,-172.41
52,-172.41
53,-172.41
54,-172.41
55,-165.66
56,-152.31
57,-152.31
58,-159
59,-145.59
60,-145.59
61,-145.59
62,-145.59
63,-134.37
64,-134.37
65,-134.37
66,-127.68
67,-127.68
68,-118.71
69,-118.71
70,-118.71
71,-118.71
72,-118.71
73,-118.71
74,-111.99
75,-105.27
76,-105.27
77,-105.27
78,-105.27
79,-96.3
80,-103.02
81,-96.3
82,-96.3
83,-87.33
84,-80.64
85,-103.02
86,-89.58
87,-89.58
88,-89.58
89,-89.58
90,-76.17
91,-76.17
92,-76.17
93,-76.17
94,-76.17
95,-82.86
96,-82.86
97,-82.86
98,-82.86
99,-71.67
100,-71.67
101,-71.67
102,-71.67
103,-60.48
104,-69.42
105,-69.42
106,-69.42
107,-69.42
108,-69.42
109,-62.7
110,-62.7
111,-62.7
112,-62.7
113,-62.7
114,-62.7
115,-62.7
117,-55.98
118,-55.98
119,-55.98
120,-64.95
121,-55.98
122,-55.98
123,-55.98
125,-55.98
126,-55.98
127,-49.26
128,-55.98
129,-55.98
131,-55.98
132,-55.98
133,-55.98
134,-55.98
135,-64.95
136,-49.26
138,-49.26
139,-49.26
140,-55.98
142,-55.98
143,-55.98
144,-55.98
146,-55.98
147,-55.98
148,-55.98
149,-55.98
150,-55.98
151,-49.26
154,-49.26
155,-49.26
156,-42.57
158,-53.76
159,-44.79
161,-44.79
162,-44.79
163,-35.82
164,-49.26
165,-49.26
167,-55.98
168,-44.79
170,-53.76
173,-47.04
174,-47.04
175,-47.04
176,-47.04
177,-47.04
179,-47.04
180,-47.04
181,-47.04
182,-47.04
184,-47.04
185,-47.04
186,-47.04
187,-47.04
188,-47.04
189,-47.04
191,-47.04
192,-47.04
193,-47.04
194,-47.04
195,-55.98
196,-47.04
197,-53.76
198,-42.57
202,-49.26
205,-49.26
207,-49.26
208,-49.26
209,-49.26
210,-42.57
211,-42.57
212,-42.57
213,-49.26
214,-49.26
215,-35.82
219,-44.79
220,-44.79
222,-51.51
224,-51.51
225,-51.51
227,-51.51
228,-44.79
229,-51.51
230,-51.51
232,-51.51
234,-51.51
235,-44.79
237,-44.79
238,-44.79
239,-44.79
240,-44.79
241,-44.79
242,-44.79
243,-51.51
244,-51.51
246,-51.51
247,-51.51
248,-42.57
249,-42.57
251,-42.57
252,-42.57
254,-51.51
255,-51.51
256,-44.79
258,-44.79
259,-44.79
260,-44.79
261,-44.79
263,-44.79
264,-44.79
265,-44.79
266,-35.82
267,-58.23
270,-49.26
271,-49.26
272,-49.26
273,-49.26
275,-42.57
276,-42.57
277,-49.26
281,-49.26
284,-49.26
285,-49.26
286,-49.26
287,-49.26
289,-49.26
293,-49.26
294,-49.26
296,-49.26
297,-42.57
298,-51.51
299,-51.51
300,-51.51
301,-42.57
302,-42.57
303,-51.51
304,-40.32
305,-49.26
307,-49.26
310,-49.26
311,-49.26
312,-49.26
314,-49.26
315,-49.26
316,-49.26
318,-49.26
320,-40.32
321,-47.04
322,-47.04
332,-47.04
333,-47.04
334,-47.04
336,-47.04
338,-47.04
340,-47.04
341,-47.04
342,-47.04
343,-47.04
344,-47.04
345,-47.04
347,-47.04
349,-47.04
351,-47.04
352,-35.82
353,-51.51
356,-42.57
357,-42.57
358,-42.57
359,-42.57
360,-53.76
361,-47.04
365,-40.32
366,-47.04
367,-40.32
368,-47.04
369,-31.35
370,-42.57
372,-49.26
374,-35.82
375,-44.79
378,-44.79
379,-53.76
380,-53.76
381,-40.32
382,-58.23
385,-58.23
386,-49.26
387,-49.26
388,-49.26
389,-55.98
390,-33.6
391,-40.32
392,-49.26
393,-49.26
394,-35.82
395,-35.82
397,-42.57
400,-42.57
402,-42.57
405,-42.57
406,-42.57
407,-42.57
408,-42.57
409,-42.57
412,-42.57
414,-42.57
417,-49.26
418,-49.26
420,-49.26
421,-49.26
422,-49.26
423,-49.26
424,-49.26
425,-49.26
426,-49.26
427,-49.26
428,-49.26
431,-49.26
433,-49.26
434,-49.26
439,-49.26
441,-49.26
443,-49.26
444,-49.26
445,-49.26
447,-49.26
449,-42.57
450,-49.26
452,-49.26
453,-49.26
454,-49.26
455,-49.26
456,-49.26
457,-42.57
460,-42.57
465,-42.57
466,-42.57
467,-42.57
468,-42.57
469,-42.57
470,-42.57
477,-42.57
478,-49.26
479,-49.26
484,-49.26
485,-38.07
486,-49.26
487,-40.32
488,-40.32
489,-62.7
490,-40.32
491,-51.51
492,-44.79
493,-29.13
494,-42.57
495,-33.6
496,-42.57
498,-42.57
499,-42.57
501,-42.57
502,-53.76
503,-42.57
504,-42.57
505,-42.57
506,-42.57
507,-42.57
508,-35.82
509,-35.82
510,-42.57
511,-42.57
512,-42.57
513,-42.57
514,-42.57
515,-42.57
516,-42.57
517,-49.26
518,-33.6
519,-47.04
520,-47.04
521,-40.32
522,-40.32
523,-51.51
524,-51.51
525,-44.79
526,-44.79
527,-44.79
528,-44.79
529,-51.51
530,-33.6
531,-51.51
532,-42.57
533,-60.48
534,-40.32
538,-47.04
539,-47.04
540,-47.04
543,-47.04
544,-47.04
545,-58.23
