-120	734.54
-119	734.54
-118	734.54
-117	724.21
-116	724.21
-115	729.38
-114	724.86
-113	728.73
-112	736.48
-111	730.02
-110	730.02
-109	744.22
-108	740.99
-107	728.73
-106	746.16
-105	735.19
-104	739.06
-103	722.92
-102	742.29
-101	722.92
-100	726.79
-99	726.79
-98	742.29
-97	747.45
-96	744.22
-95	740.99
-94	740.99
-93	734.54
-92	746.16
-91	746.16
-90	739.06
-89	732.60
-88	732.60
-87	749.39
-86	741.64
-85	724.21
-84	724.21
-83	742.29
-82	736.48
-81	736.48
-80	736.48
-79	740.99
-78	740.99
-77	751.97
-76	710.66
-75	737.12
-74	739.70
-73	732.60
-72	744.87
-71	734.54
-70	739.70
-69	735.19
-68	735.19
-67	722.28
-66	746.16
-65	756.49
-64	734.54
-63	724.86
-62	737.12
-61	746.80
-60	739.06
-59	736.48
-57	753.90
-56	731.96
-55	731.96
-54	736.48
-53	725.50
-52	734.54
-51	746.80
-50	734.54
-49	743.58
-48	740.99
-47	744.22
-46	736.48
-45	729.38
-44	740.99
-43	751.32
-42	738.41
-41	731.31
-40	742.29
-39	746.16
-38	739.06
-37	746.16
-36	731.31
-35	731.31
-34	734.54
-33	747.45
-32	739.06
-31	732.60
-30	744.22
-29	731.31
-28	739.70
-27	729.38
-26	736.48
-25	750.68
-24	726.79
-23	738.41
-22	743.58
-21	736.48
-20	739.06
-19	739.06
-18	739.06
-17	728.73
-16	738.41
-15	738.41
-14	731.31
-13	739.06
-12	741.64
-11	751.97
-10	739.70
-9	743.58
-8	731.31
-7	735.19
-6	744.22
-5	720.34
-4	742.29
-3	739.70
-2	722.92
-1	733.89
0	711.95
1	638.82
2	575.56
3	521.08
4	467.45
5	430.59
6	405.93
7	373.35
8	342.84
9	315.46
10	293.67
11	271.76
12	254.42
13	237.33
14	220.50
15	211.29
16	194.96
17	184.45
18	179.65
19	167.64
20	163.76
21	156.18
22	153.33
23	144.09
24	137.16
25	132.70
26	126.42
27	126.42
28	116.55
29	110.63
30	110.63
31	103.20
32	96.68
33	96.68
34	91.80
35	91.80
36	85.88
37	81.38
38	83.63
39	76.17
40	76.17
41	76.17
42	70.20
43	70.20
44	67.18
45	67.18
46	64.22
47	64.22
48	60.49
49	60.49
50	57.47
51	57.47
52	57.47
53	57.47
54	55.22
55	50.77
56	50.77
57	53.00
58	48.53
59	48.53
60	48.53
61	48.53
62	44.79
63	44.79
64	44.79
65	42.56
66	42.56
67	39.57
68	39.57
69	39.57
70	39.57
71	39.57
72	39.57
73	37.33
74	35.09
75	35.09
76	35.09
77	35.09
78	32.10
79	34.34
80	32.10
81	32.10
82	29.11
83	26.88
84	34.34
85	29.86
86	29.86
87	29.86
88	29.86
89	25.39
90	25.39
91	25.39
92	25.39
93	25.39
94	27.62
95	27.62
96	27.62
97	27.62
98	23.89
99	23.89
100	23.89
101	23.89
102	20.16
103	23.14
104	23.14
105	23.14
106	23.14
107	23.14
108	20.90
109	20.90
110	20.90
111	20.90
112	20.90
113	20.90
114	20.90
115	18.66
117	18.66
118	18.66
119	21.65
120	18.66
121	18.66
122	18.66
123	18.66
125	18.66
126	16.42
127	18.66
128	18.66
129	18.66
131	18.66
132	18.66
133	18.66
134	21.65
135	16.42
136	16.42
138	16.42
139	18.66
140	18.66
142	18.66
143	18.66
144	18.66
146	18.66
147	18.66
148	18.66
149	18.66
150	16.42
151	16.42
154	16.42
155	14.19
156	17.92
158	14.93
159	14.93
161	14.93
162	11.94
163	16.42
164	16.42
165	18.66
167	14.93
168	17.92
170	15.68
173	15.68
174	15.68
175	15.68
176	15.68
177	15.68
179	15.68
180	15.68
181	15.68
182	15.68
184	15.68
185	15.68
186	15.68
187	15.68
188	15.68
189	15.68
191	15.68
192	15.68
193	15.68
194	18.66
195	15.68
196	17.92
197	14.19
198	16.42
202	16.42
205	16.42
207	16.42
208	16.42
209	14.19
210	14.19
211	14.19
212	16.42
213	16.42
214	11.94
215	14.93
219	14.93
220	17.17
222	17.17
224	17.17
225	17.17
227	14.93
228	17.17
229	17.17
230	17.17
232	17.17
234	14.93
235	14.93
237	14.93
238	14.93
239	14.93
240	14.93
241	14.93
242	17.17
243	17.17
244	17.17
246	17.17
247	14.19
248	14.19
249	14.19
251	14.19
252	17.17
254	17.17
255	14.93
256	14.93
258	14.93
259	14.93
260	14.93
261	14.93
263	14.93
264	14.93
265	11.94
266	19.41
267	16.42
270	16.42
271	16.42
272	16.42
273	14.19
275	14.19
276	16.42
277	16.42
281	16.42
284	16.42
285	16.42
286	16.42
287	16.42
289	16.42
293	16.42
294	16.42
296	14.19
297	17.17
298	17.17
299	17.17
300	14.19
301	14.19
302	17.17
303	13.44
304	16.42
305	16.42
307	16.42
310	16.42
311	16.42
312	16.42
314	16.42
315	16.42
316	16.42
318	13.44
320	15.68
321	15.68
322	15.68
332	15.68
333	15.68
334	15.68
336	15.68
338	15.68
340	15.68
341	15.68
342	15.68
343	15.68
344	15.68
345	15.68
347	15.68
349	15.68
351	11.94
352	17.17
353	14.19
356	14.19
357	14.19
358	14.19
359	17.92
360	15.68
361	13.44
365	15.68
366	13.44
367	15.68
368	10.45
369	14.19
370	16.42
372	11.94
374	14.93
375	14.93
378	17.92
379	17.92
380	13.44
381	19.41
382	5.97
383	19.41
385	16.42
386	16.42
387	16.42
388	18.66
389	11.20
390	13.44
391	16.42
392	16.42
393	11.94
394	11.94
395	14.19
397	14.19
400	14.19
402	14.19
405	14.19
406	14.19
407	14.19
408	14.19
409	14.19
412	14.19
414	16.42
417	16.42
418	16.42
420	16.42
421	16.42
422	16.42
423	16.42
424	16.42
425	16.42
426	16.42
427	16.42
428	16.42
431	16.42
433	16.42
434	16.42
439	16.42
441	16.42
443	16.42
444	16.42
445	16.42
447	14.19
449	16.42
450	16.42
452	16.42
453	16.42
454	16.42
455	16.42
456	14.19
457	14.19
460	14.19
465	14.19
466	14.19
467	14.19
468	14.19
469	14.19
470	14.19
477	16.42
478	16.42
479	16.42
484	12.69
485	16.42
486	13.44
