-122	189.240
-112	188.546
-102	189.887
-92	189.205
-82	190.546
-72	190.522
-62	189.851
-52	190.522
-42	190.486
-32	190.510
-22	187.911
-12	189.851
-2	189.851
-1	189.205
0	189.839
1	184.092
2	179.086
3	166.010
4	152.827
5	135.967
6	119.694
7	103.577
8	92.453
9	81.413
10	73.677
11	67.606
12	61.799
13	57.692
14	54.411
15	52.040
16	50.280
17	48.567
18	46.604
19	45.969
20	44.568
21	43.371
22	42.317
23	41.036
24	39.910
25	39.503
26	38.162
27	37.910
28	36.629
29	35.883
30	35.023
31	34.074
32	33.153
33	32.923
34	32.030
35	31.262
36	30.413
37	29.906
38	29.385
39	28.687
40	28.300
41	27.621
42	26.783
43	26.322
44	25.786
45	25.264
46	24.824
47	24.152
48	23.654
49	23.016
50	22.698
51	22.161
52	21.859
53	21.412
54	20.828
55	20.476
56	20.058
57	19.578
58	19.176
59	18.659
60	18.464
61	18.091
62	17.661
63	17.300
64	16.945
65	16.426
66	16.200
67	15.869
68	15.600
69	15.179
70	14.917
71	14.513
72	14.216
73	13.927
74	13.641
75	13.358
76	12.999
77	12.779
78	12.556
79	12.300
80	12.009
81	11.807
82	11.601
83	11.366
84	11.136
85	10.944
86	10.577
87	10.428
88	10.111
89	10.043
90	9.834
91	9.566
92	9.439
93	9.182
94	9.025
95	8.809
96	8.718
97	8.512
98	8.336
99	8.198
100	8.056
101	7.891
102	7.703
103	7.624
104	7.442
105	7.265
106	7.241
107	7.067
108	6.901
109	6.805
110	6.646
111	6.576
112	6.510
113	6.266
114	6.225
115	6.057
116	6.012
117	5.869
118	5.810
119	5.671
120	5.555
121	5.536
122	5.386
123	5.312
124	5.186
125	5.150
126	5.132
127	4.976
128	4.912
129	4.893
130	4.742
131	4.725
132	4.597
133	4.566
134	4.488
135	4.441
136	4.336
137	4.262
138	4.190
139	4.160
140	4.132
141	4.047
142	3.965
143	3.950
144	3.911
145	3.857
146	3.791
147	3.753
148	3.740
149	3.675
150	3.613
151	3.589
152	3.553
153	3.515
154	3.454
155	3.396
156	3.360
157	3.338
158	3.292
159	3.248
160	3.225
161	3.193
162	3.138
163	3.083
164	3.063
165	3.021
166	2.980
167	2.949
168	2.909
169	2.898
170	2.849
171	2.819
172	2.801
173	2.772
174	2.725
175	2.696
176	2.659
177	2.642
178	2.606
179	2.588
180	2.569
181	2.525
182	2.509
183	2.474
184	2.433
185	2.424
186	2.375
187	2.375
188	2.343
189	2.318
190	2.270
191	2.247
192	2.224
193	2.224
194	2.185
195	2.178
196	2.148
197	2.120
198	2.105
199	2.075
200	2.054
201	2.034
202	2.026
203	1.998
204	1.971
205	1.952
206	1.938
207	1.898
208	1.872
209	1.866
210	1.853
211	1.815
212	1.810
213	1.791
214	1.766
215	1.748
216	1.736
217	1.718
218	1.706
219	1.683
220	1.671
221	1.654
222	1.614
223	1.626
224	1.593
225	1.587
226	1.560
227	1.543
228	1.529
229	1.523
230	1.497
231	1.482
232	1.472
233	1.442
234	1.436
235	1.407
236	1.407
237	1.398
238	1.388
239	1.359
240	1.355
241	1.350
242	1.319
243	1.318
244	1.300
245	1.295
246	1.287
247	1.273
248	1.247
249	1.235
250	1.231
251	1.226
252	1.205
253	1.197
254	1.185
255	1.164
256	1.160
257	1.144
258	1.137
259	1.125
260	1.114
261	1.102
262	1.092
263	1.087
264	1.076
265	1.061
266	1.061
267	1.047
268	1.039
269	1.030
270	1.018
271	1.019
272	0.997
273	0.980
274	0.994
275	0.964
276	0.960
277	0.967
278	0.951
279	0.928
280	0.928
281	0.918
282	0.899
283	0.903
284	0.890
285	0.890
286	0.878
287	0.869
288	0.863
289	0.851
290	0.851
291	0.840
292	0.840
293	0.834
294	0.814
295	0.814
296	0.808
297	0.792
298	0.798
299	0.781
300	0.776
301	0.773
302	0.771
303	0.752
304	0.749
305	0.752
306	0.745
307	0.734
308	0.724
309	0.724
310	0.712
311	0.705
312	0.697
313	0.700
314	0.690
315	0.680
316	0.676
317	0.669
318	0.662
319	0.658
320	0.662
321	0.642
322	0.644
323	0.640
324	0.637
325	0.624
326	0.622
327	0.618
328	0.612
329	0.604
330	0.601
331	0.595
332	0.591
333	0.589
334	0.585
335	0.581
336	0.575
337	0.565
338	0.555
339	0.561
340	0.554
341	0.550
342	0.548
343	0.546
344	0.538
345	0.533
346	0.529
347	0.524
348	0.522
349	0.513
350	0.510
351	0.510
352	0.503
353	0.501
354	0.492
355	0.491
356	0.484
357	0.486
358	0.484
359	0.478
360	0.471
361	0.465
362	0.460
363	0.460
364	0.457
365	0.450
366	0.449
367	0.447
368	0.443
369	0.432
370	0.434
371	0.429
372	0.422
373	0.427
374	0.415
375	0.416
376	0.412
377	0.406
378	0.409
379	0.399
380	0.397
381	0.398
382	0.391
383	0.390
384	0.387
385	0.381
386	0.382
387	0.379
388	0.375
390	0.370
391	0.366
392	0.360
393	0.362
394	0.353
